Department Family ,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Item Text, £ ,Postal Code
Department For Transport,National Highways,17/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,KIER TRANSPORTATION LIMITED,CONF9076906540582869,Renewals of Roads," £31,067.63 ",M50 3XP
Department For Transport,National Highways,18/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,Colas Ltd,CONF9260002459002587,Renewals of Roads," £31,063.92 ",B37 7YB
Department for Transport,High Speed Two (HS2) Limited,14/03/2024,Legal Services,"P40300 - Legal, Counter Fraud & Insurance",EVERSHEDS SUTHERLAND (INTERNATIONAL) LLP,#,Eversheds Property & Planning Legal Services 2022-25," £31,023.00 ",#
Department For Transport,National Highways,25/03/2024,Consultants Costs,OPERATIONS DIRECTORATE,CIVICA UK LIMITED,956165,TM - Network Resilience," £31,000.00 ",BA1 5LR
Department For Transport,National Highways,27/03/2024,TA Cost AUC - Programme,"CUSTOMER, STRATEGY AND COMMUNICATIONS",WSP UK LIMITED,957070,RIS 3 Development," £30,993.91 ",RG21 4HJ
Department for Transport,High Speed Two (HS2) Limited,01/03/2024,SAAS,P40230 - Information Technology,DAY AT THE BEACH LTD,#,BAU 81 C1000_3460 AIMS Asset Register - Operations and support - fixed," £30,940.80 ",#
Department For Transport,National Highways,31/03/2024,Contractor Costs,OPERATIONS DIRECTORATE,IBI GROUP (UK) LTD,957421,Operate General Management Costs," £30,920.00 ",G2 1BT
Department For Transport,National Highways,11/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,AtkinsRéalis PPS Limited,952814,RIS 1 Schemes," £30,900.28 ",WR5 1TX
Department for Transport,Department for Transport,06/03/2024,Research,DG Roads and Local Group,Ove Arup & Partners Ltd,2000033115,#," £30,876.89 ",NE1 3PL
Department For Transport,National Highways,19/03/2024,RM Cost Reimbursable,OPERATIONS DIRECTORATE,KIER TRANSPORTATION LIMITED,CONF9260302840371421,Routine Maintenance," £30,858.22 ",M50 3XP
Department for Transport,DVSA,26/03/2024,RATES,ESTATES,WAKEFIELD COUNCIL,1900011532,OTRC - WAKEFIELD MPTC - RATES 2024 - 2025," £30,849.00 ",#
Department for Transport,High Speed Two (HS2) Limited,01/03/2024,It Services,P40023 - Design,FRAME PROJECTS LTD,#,IDRP secretariat support," £30,812.16 ",#
Department For Transport,National Highways,06/03/2024,RM Cost Reimbursable,"SAFETY, ENGINEERING AND STANDARDS",FUTRAN JOINT VENTURE,952093,Routine Maintenance," £30,801.92 ",RG40 3GA
Department for Transport,Department for Transport,14/03/2024,Recruitment Advertis,"DG Decarbonisation, Technology and Strategy",CABINET OFFICE,2000034064,#," £30,800.00 ",NP10 8FZ
Department for Transport,Department for Transport,26/03/2024,Research,"DG Decarbonisation, Technology and Strategy",ACTICA CONSULTING LIMITED,2000035608,#," £30,775.00 ",GU2 7RF
Department For Transport,National Highways,18/03/2024,CM - Third Party Damage,OPERATIONS DIRECTORATE,Colas Ltd,CONF9260003449192834,Routine Maintenance," £30,770.10 ",B37 7YB
Department for Transport,Driver & Vehicle Licensing Agency,30/03/2024,Software Licence Expense,Information Services,Bytes Software Services Ltd,2000031913,#," £30,656.64 ",KT22 7TW
Department for Transport,DVSA,26/03/2024,RATES,ESTATES,HERTSMERE BOROUGH COUNCIL,1900011512,OTRC - BOREHAMWOOD STIRLING COURT DTC RATES 24-25," £30,654.19 ",#
Department For Transport,National Highways,13/03/2024,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,Premier Traffic Management Ltd,953447,Biodiversity," £30,613.83 ",DL16 6TL
Department For Transport,National Highways,15/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,KIER TRANSPORTATION LIMITED,CONF9133320959201422,Renewals of Roads," £30,592.71 ",M50 3XP
Department for Transport,Department for Transport,20/03/2024,Curr Grt Other CG Bo,"DG Aviation, Maritime and Security",CIVIL AVIATION AUTHORITY,2000034750,CAA STEM Outreach February 2024," £30,586.19 ",RH6 0YR
Department For Transport,National Highways,19/03/2024,TA Renewal of Structures - Capital,OPERATIONS DIRECTORATE,KIER TRANSPORTATION LIMITED,CONF9903002940386525,Renewals of Structures," £30,547.93 ",M50 3XP
Department For Transport,National Highways,26/03/2024,Consultants Costs,OPERATIONS DIRECTORATE,JC PEACOCK AND COMPANY LIMITED,956669,Protocol Strategic Salt," £30,530.70 ",KA8 8AE
Department for Transport,Driver & Vehicle Licensing Agency,15/03/2024,Software Licence Expense,Information Services,NOMINET UK,2000030971,#," £30,502.32 ",OX4 4DQ
Department for Transport,Department for Transport,20/03/2024,Research,DG Roads and Local Group,UNIVERSITY OF THE WEST OF ENGLAND,2000034790,#," £30,482.88 ",BS16 1QY
Department For Transport,National Highways,29/03/2024,Consultants Costs,DIGITAL SERVICES,ANMUT CONSULTING LIMITED,957413,Corporate Support Services," £30,466.00 ",KT12 5DS
Department for Transport,British Transport Police,13/03/2024,Wan Recurring Charges,Technology,Virgin Media Business,571063,Wan Recurring Charges," £30,462.00 ",RG27 9UP
Department for Transport,Department for Transport,20/03/2024,Support Services,"DG Aviation, Maritime and Security",CIVIL AVIATION AUTHORITY,2000034704,#," £30,437.70 ",RH6 0YR
Department For Transport,National Highways,08/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,SOUTH GLOUCESTERSHIRE COUNCIL,952704,RIS 2 Schemes," £30,412.94 ",BS35 1HF
Department For Transport,National Highways,07/03/2024,Contractor Costs,OPERATIONS DIRECTORATE,DYER & BUTLER LTD,952561,Protocol HRE," £30,347.46 ",SG1 2ST
Department For Transport,National Highways,22/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,J MCCANN & CO LTD,955820,Renewals of Roads," £30,339.56 ",NG9 6DG
Department for Transport,Department for Transport,06/03/2024,Research,"DG Decarbonisation, Technology and Strategy",TRANSPORT RESEARCH LABORATORY,2000033118,#," £30,317.94 ",RG40 3GA
Department For Transport,National Highways,25/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,MOTT MACDONALD GROUP LTD,956278,RIS 1 Schemes," £30,285.91 ",CR0 2EE
Department For Transport,National Highways,14/03/2024,RM Cost Reimbursable,OPERATIONS DIRECTORATE,AMEY OW LIMITED,CONF9122013312017763,Routine Maintenance," £30,279.36 ",OX4 4DQ
Department For Transport,National Highways,18/03/2024,Consultants Costs,OPERATIONS DIRECTORATE,MetDesk Limited,953800,TM - Network Resilience," £30,259.03 ",HP22 6NJ
Department For Transport,National Highways,27/03/2024,Contractor Costs,MAJOR PROJECTS,J MCCANN & CO LTD,956884,Operate S274/S278," £30,224.74 ",NG9 6DG
Department For Transport,National Highways,14/03/2024,TA Cost AUC - Programme,"SAFETY, ENGINEERING AND STANDARDS",Atkins Jacobs SPaTS 2 Joint Venture,953500,"Design, Construction and Maintenance"," £30,188.16 ",SE1 2QG
Department for Transport,Department for Transport,14/03/2024,Subsidies Private Se,DG Roads and Local Group,REDACTED,2000034006,#," £30,183.89 ",REDACTED
Department For Transport,National Highways,12/03/2024,RM Cost Reimbursable,OPERATIONS DIRECTORATE,Amey Highways Ltd,CONF9077708443520859,Routine Maintenance," £30,156.79 ",CB25 9PG
Department For Transport,National Highways,26/03/2024,Contractor Costs,DIGITAL SERVICES,AtkinsRéalis UK Limited,956586,Corporate Support Services," £30,105.66 ",WR5 1TX
Department For Transport,National Highways,15/03/2024,RM Cost Reimbursable,OPERATIONS DIRECTORATE,KIER TRANSPORTATION LIMITED,CONF9139218259200604,Routine Maintenance," £30,037.34 ",M50 3XP
Department for Transport,Department for Transport,15/03/2024,Publicity,DG Corporate Delivery Group,Wavemaker,2000034221,#," £30,037.06 ",SE1 9ET
Department for Transport,British Transport Police,20/03/2024,It Hardware Maintenance,Technology,Cdw Limited,571255,It Hardware Maintenance," £30,034.44 ",EC4M 7RB
Department For Transport,National Highways,06/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,COSTAIN LIMITED,952178,RIS 1 Schemes," £30,012.64 ",SL6 4UB
Department for Transport,Department for Transport,08/03/2024,Research,"DG Aviation, Maritime and Security",Deecon Consulting Limited,2000033402,#," £30,000.00 ",EC2A 2DX
Department for Transport,Department for Transport,12/03/2024,Financial Consultanc,DG Rail Strategy and Services Group,DELOITTE LLP,2000033758,Provide Financial Support to Project team," £30,000.00 ",EC4A 3HQ
Department for Transport,Department for Transport,27/03/2024,Transport  Consult,DG Roads and Local Group,ADEPT,2000035864,#," £30,000.00 ",M1 2JQ
Department For Transport,National Highways,18/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,Colas Ltd,CONF9260002459002185,Renewals of Roads," £30,000.00 ",B37 7YB
Department For Transport,National Highways,22/03/2024,Consultants Costs,"CUSTOMER, STRATEGY AND COMMUNICATIONS",SUSTRANS,955728,Business Services General," £30,000.00 ",BS1 5DD
Department For Transport,National Highways,25/03/2024,Consultants Costs,"SAFETY, ENGINEERING AND STANDARDS",STENNIK ADVERTISING LTD,956357,Business Services General," £30,000.00 ",IP22 1SH
Department For Transport,National Highways,28/03/2024,Consultants Costs,"CUSTOMER, STRATEGY AND COMMUNICATIONS",SUSTRANS,957396,Business Services Research and Development," £30,000.00 ",BS1 5DD
Department For Transport,National Highways,28/03/2024,TA Cost AUC - Programme,"CUSTOMER, STRATEGY AND COMMUNICATIONS",AECOM LIMITED,957300,RIS 3 Development," £30,000.00 ",B4 6AT
Department For Transport,National Highways,28/03/2024,TA Cost AUC - Programme,"CUSTOMER, STRATEGY AND COMMUNICATIONS",OFFICE OF RAIL AND ROAD (ORR),957302,Corporate Support Other," £30,000.00 ",WC2B 4AN
Department for Transport,VCA,07/03/2024,Computer Software (non-Capital),VCA UK,ADOBE SYSTEMS SOFTWARE IRELAND LTD,INV 31171,02.03-01.06.24 Acrobat Services: PDF Services API Acrobat Sign for ent MSFT Azure TRN Acrobat Sign for ent Subs PS ONS OFFS T2," £30,000.00 ",Ireland
Department for Transport,Department for Transport,26/03/2024,Small Software,"DG Aviation, Maritime and Security",BECHTLE DIRECT LTD,2000035653,#," £29,995.34 ",SN14 0GF
Department For Transport,National Highways,15/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,WSP UK LIMITED,953662,Renewals of Roads," £29,984.16 ",RG21 4HJ
Department For Transport,National Highways,11/03/2024,Consultants Costs,"CUSTOMER, STRATEGY AND COMMUNICATIONS",MANNING GOTTLIEB,952856,Corporate Support Other," £29,970.36 ",N1 9RL
Department For Transport,National Highways,28/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,TRL LTD,957238,Renewals of Roads," £29,942.57 ",RG40 3GA
Department For Transport,National Highways,18/03/2024,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,Premier Traffic Management Ltd,953871,Renewals of Technology," £29,923.88 ",DL16 6TL
Department for Transport,British Transport Police,20/03/2024,Vehicle Equipment (Noncap),Fleet,Enforcelogic Ltd,571195,Vehicle Equipment (Noncap)," £29,916.00 ",SL4 1SE
Department For Transport,National Highways,15/03/2024,CM - Compensation / Variation Costs,OPERATIONS DIRECTORATE,CH2M COSTAIN JOINT VENTURE (CHC) (AREA 14 M&C),CONF9142084252047644,Routine Maintenance," £29,909.06 ",DL17 0LG
Department For Transport,National Highways,18/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,Colas Ltd,CONF9260002459002529,Renewals of Roads," £29,904.85 ",B37 7YB
Department for Transport,Department for Transport,26/03/2024,IT Ser Running Costs,DG Roads and Local Group,VERSION1 SOLUTIONS LIMITED,2000035647,#," £29,876.67 ",B97 4DL
Department for Transport,Driver & Vehicle Licensing Agency,18/03/2024,Non Stock Machine Consumables,Operations,Thales DIS UK Ltd,2000033544,#," £29,863.20 ",PO15 5RX
Department For Transport,National Highways,07/03/2024,TA Renewal of Structures - Capital,OPERATIONS DIRECTORATE,AtkinsRéalis UK Limited,952464,Renewals of Structures," £29,852.68 ",WR5 1TX
Department for Transport,Department for Transport,15/03/2024,Publicity,DG Corporate Delivery Group,KANTAR PUBLIC UK LIMITED,2000034243,#," £29,820.00 ",SW1P 3JA
Department for Transport,Department for Transport,26/03/2024,Publicity,DG Corporate Delivery Group,KANTAR PUBLIC UK LIMITED,2000035654,#," £29,820.00 ",SW1P 3JA
Department For Transport,National Highways,17/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,KIER TRANSPORTATION LIMITED,CONF9076906540582872,Renewals of Roads," £29,791.63 ",M50 3XP
Department For Transport,National Highways,21/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,THE POLICE AND CRIME COMMISSIONER FOR NORTHUMBRIA,955438,Feasibility," £29,790.00 ",NE1 3PH
Department for Transport,Department for Transport,05/03/2024,Research,"DG Decarbonisation, Technology and Strategy",Ricardo AEA,2000032873,#," £29,787.50 ",OX11 0QR
Department For Transport,National Highways,11/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,AMEY OW LIMITED,CONF9104210258173842,Renewals of Roads," £29,781.61 ",OX4 4DQ
Department For Transport,National Highways,21/03/2024,TA Cost AUC - Programme,LOWER THAMES CROSSING DIR,CHAFFORD GORGES LIMITED,955579,Biodiversity," £29,779.27 ",CO5 7RZ
Department For Transport,National Highways,18/03/2024,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,J MCCANN & CO LTD,953772,Environment Other," £29,759.30 ",NG9 6DG
Department for Transport,DVSA,26/03/2024,RATES,ESTATES,CUMBERLAND COUNCIL (CARLISLE),1900011531,OTRC - TODHILLS ENFORCEMENT - RATES 2024 - 2025," £29,757.00 ",#
Department for Transport,High Speed Two (HS2) Limited,06/03/2024,Business Services,P40032 - Procurement & Supply Chain,SHARPE PRITCHARD LLP,#,Commercial Assurance Service (legal services) - 2 year contract," £29,751.00 ",#
Department For Transport,National Highways,06/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,WSP UK LIMITED,952177,RIS 2 Schemes," £29,746.10 ",RG21 4HJ
Department for Transport,Department for Transport,20/03/2024,Support Services,DG Roads and Local Group,CABINET OFFICE,2000034697,#," £29,744.00 ",FY1 9JN
Department For Transport,National Highways,18/03/2024,RM Cost Reimbursable,OPERATIONS DIRECTORATE,Colas Ltd,CONF9260003449182816,Routine Maintenance," £29,741.73 ",B37 7YB
Department for Transport,EWR,27/03/2024,Temporary staff,CEO's Office,WSP UK Limited,15802,Interim Engineering Director February 2024," £29,741.35 ",WC2A 1AF
Department For Transport,National Highways,20/03/2024,Contractor Costs,OPERATIONS DIRECTORATE,Inseego UK Ltd,955004,Customer Operations Traffic Management," £29,736.00 ",LS6 1PF
Department For Transport,National Highways,22/03/2024,TA Renewal of Structures - Capital,OPERATIONS DIRECTORATE,JACOBS UK LTD,955991,Renewals of Structures," £29,715.93 ",G2 7HX
Department for Transport,DVSA,19/03/2024,WATER,SUSTAINABILITY,ADSM,5100009511,WATER & SEWERAGE SERVICE CHARGES - OCT23," £29,656.94 ",#
Department For Transport,National Highways,08/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,SOUTH GLOUCESTERSHIRE COUNCIL,952706,RIS 2 Schemes," £29,647.04 ",BS35 1HF
Department for Transport,Department for Transport,08/03/2024,Publicity,DG Roads and Local Group,KANTAR PUBLIC UK LIMITED,2000033398,#," £29,640.00 ",SW1P 3JA
Department for Transport,Department for Transport,08/03/2024,Subsidies Private Se,DG Roads and Local Group,REDACTED,2000033040,#," £29,618.38 ",REDACTED
Department For Transport,National Highways,19/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,KIER TRANSPORTATION LIMITED,CONF9903002940378897,Renewals of Roads," £29,617.84 ",M50 3XP
Department For Transport,National Highways,15/03/2024,RM Cost Reimbursable,OPERATIONS DIRECTORATE,KIER TRANSPORTATION LIMITED,CONF9139218259200254,Routine Maintenance," £29,600.72 ",M50 3XP
Department For Transport,National Highways,26/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,RINGWAY INFRASTRUCTURE SERVICES LTD,CONF9211301454315395,Renewals of Roads," £29,591.07 ",EN1 1TH
Department For Transport,National Highways,11/03/2024,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,AMEY OW LIMITED,CONF9104210258170744,Winter Maintenance - Assets," £29,531.27 ",OX4 4DQ
Department for Transport,Department for Transport,11/03/2024,Prog&ProjMgmt Consul,"DG Aviation, Maritime and Security",ACTICA CONSULTING LIMITED,2000033500,#," £29,520.00 ",GU2 7RF
Department For Transport,National Highways,20/03/2024,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,Chevron Traffic Management,954532,Operate General Other," £29,505.32 ",OX9 3XA
Department for Transport,DVSA,11/03/2024,IT SERVICES RUNNING COSTS,COLLABORATIVE TOOLS GOVERNANCE & UPSKILLING,CAPGEMINI UK PLC,5100009055,COLLABORATION TOOLS USER RESEARCH - FEB 24," £29,499.00 ",#
Department for Transport,DVSA,21/03/2024,RENT,ESTATES,SHELBORN ASSET MANAGEMENT,1900011059,RC - NEWCASTLE LIGHTBOX RENT," £29,460.12 ",#
Department For Transport,National Highways,15/03/2024,RM Cost Reimbursable,OPERATIONS DIRECTORATE,KIER TRANSPORTATION LIMITED,CONF9139218042899787r,Routine Maintenance," £29,458.66 ",M50 3XP
Department For Transport,National Highways,25/03/2024,Contractor Costs,FINANCE & BUSINESS SERVICES,Euro Parking Collection plc,956028,Protocol Dart Charge," £29,457.88 ",N1 3DF
Department For Transport,National Highways,21/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,AtkinsRéalis PPS Limited,955591,RIS 1 Schemes," £29,445.65 ",WR5 1TX
Department For Transport,National Highways,27/03/2024,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,XEROX (UK) LTD,956941,Operate General Management Costs," £29,390.40 ",UB8 1HS
Department For Transport,National Highways,20/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,THE ORANGE PARTNERSHIP LIMITED,955319,RIS 1 Schemes," £29,348.54 ",CV8 2EL
Department For Transport,National Highways,28/03/2024,TA Cost AUC – Non SRN,DIGITAL SERVICES,BJSS LIMITED,957292,Corporate Support Services," £29,329.00 ",LS1 4HR
Department For Transport,National Highways,07/03/2024,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,AtkinsRéalis UK Limited,952464,Renewals of Technology," £29,308.72 ",WR5 1TX
Department for Transport,Department for Transport,11/03/2024,Research,DG Corporate Delivery Group,IfM Engage Ltd,2000033666,#," £29,300.00 ",CB3 0FS
Department for Transport,Driver & Vehicle Licensing Agency,11/03/2024,Mail Collection/Delivery Costs,Operations,DHL Parcel UK Ltd,2000030457,#," £29,284.08 ",SL1 4LZ
Department For Transport,National Highways,12/03/2024,CM - Third Party Damage,OPERATIONS DIRECTORATE,Amey Highways Ltd,CONF9077708443518185,Routine Maintenance," £29,268.66 ",CB25 9PG
Department For Transport,National Highways,22/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,RINGWAY INFRASTRUCTURE SERVICES LTD,CONF8730008546703360,Renewals of Roads," £29,248.59 ",EN1 1TH
Department For Transport,Maritime and Coastguard Agency,27/03/2024,Corporate Travel Contracts (Finance Only),Central Finance,Enterprise Rent A Car Ltd,233134426,Car hire charges for November 2023," £29,150.14 ",TW20 9FB
Department For Transport,National Highways,19/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,WILSON & SCOTT (HIGHWAYS) LTD,954089,Renewals of Roads," £29,133.24 ",SL3 0HQ
Department For Transport,National Highways,27/03/2024,Contractor Costs,OPERATIONS DIRECTORATE,DDC ENGINEERING SOLUTIONS LTD,957075,Renewals of Roads," £29,126.75 ",WV10 7QZ
Department For Transport,National Highways,15/03/2024,RM Cost Reimbursable,OPERATIONS DIRECTORATE,KIER TRANSPORTATION LIMITED,CONF9139218259200949,Routine Maintenance," £29,126.51 ",M50 3XP
Department For Transport,National Highways,26/03/2024,CM - Time Based Charges,OPERATIONS DIRECTORATE,THE POLICE AND CRIME COMMISSIONER FOR LEICESTERSHIRE,956481,Routine Maintenance," £29,118.74 ",LE19 2BX
Department For Transport,Maritime and Coastguard Agency,28/03/2024,Mobile Phone Contracts (Finance Only),Central Finance,Vodafone Mc Mobile Services,233135371,Mobile phone charges," £29,095.90 ",RG14 5FF
Department for Transport,Department for Transport,25/03/2024,Research,DG Rail Strategy and Services Group,BDRC Continental Ltd,2000035380,#," £29,090.00 ",N1 9LL
Department for Transport,British Transport Police,20/03/2024,Wan Recurring Charges,Technology,4net Technologies Ltd T/A Fournet,571406,Wan Recurring Charges," £29,088.00 ",M32 0TR
Department for Transport,Department for Transport,04/03/2024,Transport  Consult,DG Rail Strategy and Services Group,Amberside Advisors Ltd,2000032734,Provide Technical Support to Project Team," £29,060.14 ",HP2 5HA
Department For Transport,National Highways,26/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,JACOBS UK LTD,956497,Renewals of Roads," £29,047.23 ",G2 7HX
Department For Transport,National Highways,19/03/2024,TA Renewal of Structures - Capital,OPERATIONS DIRECTORATE,Chevron Traffic Management,954189,Renewals of Structures," £29,046.60 ",OX9 3XA
Department For Transport,National Highways,27/03/2024,Contractor Costs,OPERATIONS DIRECTORATE,INERTIA CONSULTING LIMITED,956772,Routine Maintenance," £29,036.28 ",DE1 1JG
Department For Transport,National Highways,01/03/2024,Contractor Costs,OPERATIONS DIRECTORATE,AMEY OW LIMITED,951650,Protocol SRC (Severn River Crossing)," £29,023.69 ",OX4 4DQ
Department For Transport,Maritime and Coastguard Agency,04/03/2024,SMarT Administration,Seafarer Technical Delivery,Ricardo-Aea Ltd,233134403,Management & audit fees," £29,014.11 ",OX11 0QR
Department for Transport,Department for Transport,22/03/2024,Research,DG Roads and Local Group,UNIVERSITY OF THE WEST OF ENGLAND,2000035223,#," £29,006.19 ",BS16 1QY
Department For Transport,National Highways,11/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,AMEY OW LIMITED,CONF9104210258173843,Renewals of Roads," £28,995.05 ",OX4 4DQ
Department for Transport,DVSA,07/03/2024,IT SERVICES RUNNING COSTS,TS APPLICATIONS & PLATFORM ENGINEERING,JENOPTIK UK LTD,5100009101,BACK OFFICE SUPPORT -MARCH 2024," £28,982.32 ",#
Department For Transport,National Highways,18/03/2024,RM Cost Reimbursable,OPERATIONS DIRECTORATE,Colas Ltd,CONF9260003449259396,Routine Maintenance," £28,954.87 ",B37 7YB
Department For Transport,National Highways,25/03/2024,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,TELENT TECHNOLOGY SERVICES LIMITED,956266,Renewals of Technology," £28,950.02 ",CV34 5AH
Department For Transport,National Highways,18/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,Premier Traffic Management Ltd,953809,Renewals of Roads," £28,928.49 ",DL16 6TL
Department For Transport,National Highways,20/03/2024,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,WSP UK LIMITED,955021,Carbon," £28,914.70 ",RG21 4HJ
Department For Transport,National Highways,06/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,JACOBS UK LTD,952146,SR13 Smart Motorway Scheme," £28,875.24 ",G2 7HX
Department for Transport,Department for Transport,19/03/2024,Transport  Consult,DG High Speed Rail Group,House of Commons,2000034491,#," £28,855.80 ",SW1A 0AA
Department for Transport,DVSA,28/03/2024,COMPUTER EQUIPMENT SERVICE CHARGE,HARDWARE - GENERAL,SPECIALIST COMPUTER CENTRE PLC,5100009809,IPHONE 15 128GB BLACK," £28,827.00 ",#
Department For Transport,National Highways,15/03/2024,CM - Lump Sum Fees,OPERATIONS DIRECTORATE,CH2M COSTAIN JOINT VENTURE (CHC) (AREA 14 M&C),CONF9140043052045224,Routine Maintenance," £28,810.44 ",DL17 0LG
Department For Transport,National Highways,05/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,CONNECT PLUS (M25) LTD,951998,SR13 Smart Motorway Scheme," £28,790.30 ",EN6 3NP
Department For Transport,National Highways,04/03/2024,TA Cost AUC - Programme,COMMERCIAL & PROCUREMENT,DELOITTE LLP,951890,Corporate Support Other," £28,750.00 ",MK9 1FD
Department for Transport,High Speed Two (HS2) Limited,06/03/2024,Business Services,P10077 - Civils Integration Unit,RSK ORBITAL LTD,#,Helicopter Flythrough," £28,704.00 ",#
Department For Transport,National Highways,11/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,AMEY OW LIMITED,CONF9104210258166182,Renewals of Roads," £28,680.38 ",OX4 4DQ
Department for Transport,British Transport Police,13/03/2024,Business Rates,Estates & Fm,Southampton City Council,571811,Business Rates," £28,665.00 ",SO14 7LD
Department For Transport,National Highways,15/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,CH2M COSTAIN JOINT VENTURE (CHC) (AREA 14 M&C),CONF9144513352042203,Renewals of Roads," £28,664.04 ",DL17 0LG
Department For Transport,National Highways,18/03/2024,Consultants Costs,OPERATIONS DIRECTORATE,MetDesk Limited,953802,TM - Network Resilience," £28,651.74 ",HP22 6NJ
Department For Transport,National Highways,18/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,CONNECT PLUS (M25) LTD,953701,RIS 1 Schemes," £28,637.34 ",EN6 3NP
Department For Transport,National Highways,21/03/2024,ICT Other costs,DIGITAL SERVICES,BRITISH TELECOM PLC (NON CIS) CHARGES,955512,Corporate Support Services," £28,618.20 ",NE82 6AA
Department For Transport,National Highways,27/03/2024,TA Cost AUC - Programme,"CUSTOMER, STRATEGY AND COMMUNICATIONS",ESRI UK,957073,Corporate Support Other," £28,597.00 ",HP21 7QG
Department For Transport,National Highways,11/03/2024,CM - Lump Sum Fees,OPERATIONS DIRECTORATE,AMEY OW LIMITED,CONF9100111758165004,Routine Maintenance," £28,575.43 ",OX4 4DQ
Department For Transport,National Highways,26/03/2024,Consultants Costs,"SAFETY, ENGINEERING AND STANDARDS",THE WELDING INSTITUTE (TWI),956613,Business Services General," £28,550.40 ",CB21 6AL
Department For Transport,National Highways,19/03/2024,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,AC Landscapes and Treeworks UK Ltd,954098,Biodiversity," £28,535.26 ",TQ12 3PJ
Department For Transport,National Highways,11/03/2024,Consultants Costs,"CUSTOMER, STRATEGY AND COMMUNICATIONS",MANNING GOTTLIEB,952933,Corporate Support Other," £28,526.57 ",N1 9RL
Department For Transport,National Highways,14/03/2024,PFI Service Payments,OPERATIONS DIRECTORATE,EGIS ROAD OPERATION UK LTD (NON-CIS),953512,Operate Roads PFI Management Cost," £28,526.50 ",N3 1QT
Department for Transport,EWR,04/03/2024,Agency Personnel,CEO's Office,WSP UK Limited,15573,Interim Engineering Director January 2024," £28,490.96 ",WC2A 1AF
Department for Transport,EWR,19/03/2024,Office Accommodation (Rent),Operate the Business,TfL Transport Trading Limited,15715,Albany House Rent 01-May-2024 to 31-May-2024," £28,468.54 ",SE10 1AP
Department For Transport,National Highways,25/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,RINGWAY INFRASTRUCTURE SERVICES LTD,CONF8730009046756456,Renewals of Roads," £28,462.41 ",EN1 1TH
Department For Transport,National Highways,20/03/2024,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,JACOBS UK LTD,954717,RIS 1 Schemes," £28,453.55 ",G2 7HX
Department for Transport,Department for Transport,08/03/2024,Subsidies Private Se,DG Roads and Local Group,REDACTED,2000033079,#," £28,453.04 ",REDACTED
Department For Transport,National Highways,26/03/2024,TA Cost AUC - Programme,LOWER THAMES CROSSING DIR,ARCADIS CONSULTING (UK) LIMITED,956415,RIS 2 Schemes," £28,415.15 ",CF3 0EY
